conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,label,similarity_score
1940350506007986530,Wed Jul 02 10:03:05 +0000 2025,0,jujur takut enih ,1940350506007986530,,,in,,0,0,0,https://x.com/undefined/status/1940350506007986530,1865298251311910914,,jujur takut enih,stres,0.7833851
1940350437133336699,Wed Jul 02 10:02:48 +0000 2025,0,cuman masalah PC anying psslsllsls ke,1940350437133336699,,,in,,0,0,0,https://x.com/undefined/status/1940350437133336699,1865298251311910914,,cuman masalah pc anying psslsllsls ke,stres,0.7242302
1940350382762574016,Wed Jul 02 10:02:35 +0000 2025,0,Kocakkk kenapa jadi ribet giniii,1940350382762574016,,,in,,0,0,0,https://x.com/undefined/status/1940350382762574016,1865298251311910914,,kocakkk kenapa jadi ribet giniii,tidak_stres,0.81156886
1938612035983675410,Fri Jun 27 14:55:01 +0000 2025,0,Takuttt plss,1938612035983675410,,,in,,0,0,0,https://x.com/undefined/status/1938612035983675410,1865298251311910914,,takuttt plss,stres,0.7747013
1938611991679279512,Fri Jun 27 14:54:51 +0000 2025,0,Pusing mw osn,1938611991679279512,,,ht,,0,0,0,https://x.com/undefined/status/1938611991679279512,1865298251311910914,,pusing mw osn,tidak_stres,0.66472024
1938611958451937778,Fri Jun 27 14:54:43 +0000 2025,0,yeahhh baru bisa buka twt,1938611958451937778,,,in,,0,0,0,https://x.com/undefined/status/1938611958451937778,1865298251311910914,,yeahhh baru bisa buka twt,tidak_stres,0.8211939
1936296829089726653,Sat Jun 21 05:35:13 +0000 2025,0,Boiyen selalu ngakak plsss ,1936296829089726653,,,in,,0,0,0,https://x.com/undefined/status/1936296829089726653,1865298251311910914,,boiyen selalu ngakak plsss,tidak_stres,0.8181318
1936270114204365041,Sat Jun 21 03:49:04 +0000 2025,0,Makan kueeee,1936270114204365041,,,in,,0,0,0,https://x.com/undefined/status/1936270114204365041,1865298251311910914,,makan kueeee,tidak_stres,0.64746517
1934992601670910189,Tue Jun 17 15:12:41 +0000 2025,0,apa dah dia sok pinter bet,1934992601670910189,,,in,,0,0,0,https://x.com/undefined/status/1934992601670910189,1865298251311910914,,apa dah dia sok pinter bet,stres,0.6731541
1934630766048366790,Mon Jun 16 15:14:52 +0000 2025,0,Pusing banget ga bisa tidur plsss,1934630766048366790,,,in,,0,0,0,https://x.com/undefined/status/1934630766048366790,1865298251311910914,,pusing banget ga bisa tidur plsss,stres,0.8207657
1934458490623549922,Mon Jun 16 03:50:19 +0000 2025,0,mules bangat lagi woi,1934458490623549922,,,in,,0,0,0,https://x.com/undefined/status/1934458490623549922,1865298251311910914,,mules bangat lagi woi,stres,0.84053576
1934458445882917358,Mon Jun 16 03:50:08 +0000 2025,0,hari Senin enaknya tidur daripada sekola ga sihhehhnhehe,1934458445882917358,,,in,,0,0,0,https://x.com/undefined/status/1934458445882917358,1865298251311910914,,hari senin enaknya tidur daripada sekola ga sihhehhnhehe,tidak_stres,0.79978573
1934236482086359498,Sun Jun 15 13:08:08 +0000 2025,0,bersih bersih kamarrr,1934236482086359498,,,in,,0,0,0,https://x.com/undefined/status/1934236482086359498,1865298251311910914,,bersih bersih kamarrr,tidak_stres,0.64074856
1933907278534684805,Sat Jun 14 15:20:00 +0000 2025,0,gabisa tidur pusing bangetttt,1933907278534684805,,,in,,0,0,0,https://x.com/undefined/status/1933907278534684805,1865298251311910914,,gabisa tidur pusing bangetttt,stres,0.78164685
1933829345073885319,Sat Jun 14 10:10:19 +0000 2025,0,sipaling rajin wwhwhhwhwh,1933829345073885319,,,tl,,0,0,0,https://x.com/undefined/status/1933829345073885319,1865298251311910914,,sipaling rajin wwhwhhwhwh,tidak_stres,0.7893498
1933829241264803873,Sat Jun 14 10:09:54 +0000 2025,0,yeah hari ini ke perpus lagii,1933829241264803873,,,in,,0,0,0,https://x.com/undefined/status/1933829241264803873,1865298251311910914,,yeah hari ini ke perpus lagii,stres,0.77030075
1933539453471240538,Fri Jun 13 14:58:23 +0000 2025,0,yeahhh tugas nya kelarrr,1933539453471240538,,,in,,0,0,0,https://x.com/undefined/status/1933539453471240538,1865298251311910914,,yeahhh tugas nya kelarrr,tidak_stres,0.7968104
1933469182949273990,Fri Jun 13 10:19:09 +0000 2025,0,aaaaaa pusing ini tugas dah,1933469182949273990,,,in,,0,0,0,https://x.com/undefined/status/1933469182949273990,1865298251311910914,,aaaaaa pusing ini tugas dah,stres,0.8321966
1933451643993153933,Fri Jun 13 09:09:28 +0000 2025,0,makan mieeeee,1933451643993153933,,,in,,0,0,0,https://x.com/undefined/status/1933451643993153933,1865298251311910914,,makan mieeeee,tidak_stres,0.6340681
1933155361944723965,Thu Jun 12 13:32:09 +0000 2025,0,wehhh Bp2 udah mulaii ngikut ga yrr,1933155361944723965,,,in,,0,0,0,https://x.com/undefined/status/1933155361944723965,1865298251311910914,,wehhh bp udah mulaii ngikut ga yrr,stres,0.8061382
1929866844585726062,Tue Jun 03 11:44:45 +0000 2025,0,abis ulangan lega hehe,1929866844585726062,,,in,,0,0,0,https://x.com/undefined/status/1929866844585726062,1865298251311910914,,abis ulangan lega hehe,tidak_stres,0.8152817
1929660292440772663,Mon Jun 02 22:03:59 +0000 2025,0,woi takut bangat nih ulangannya susahhh,1929660292440772663,,,in,,0,0,0,https://x.com/undefined/status/1929660292440772663,1865298251311910914,,woi takut bangat nih ulangannya susahhh,stres,0.82985115
1929660154892767739,Mon Jun 02 22:03:26 +0000 2025,0,baru bangun tidur bngat plss,1929660154892767739,,,in,,0,0,0,https://x.com/undefined/status/1929660154892767739,1865298251311910914,,baru bangun tidur bngat plss,tidak_stres,0.8411602
